tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2, tm band 3, tm band 4, tm band 5, tm band 6, tm band 7, tm band 8
tmfreqs:, 41, 0.5, 0.3, 0, 0.503322, 0.256422, 0.466592, 0.527586, 0.753092, 0.797438, 0.862258, 0.897257, 0.951623
tmfreqs:, 42, 0.5, 0.32, 0, 0.506491, 0.256937, 0.464037, 0.530171, 0.752831, 0.797496, 0.862135, 0.892765, 0.958038
tmfreqs:, 43, 0.5, 0.34, 0, 0.510686, 0.257576, 0.461117, 0.533131, 0.752492, 0.797567, 0.861951, 0.888193, 0.965167
tmfreqs:, 44, 0.5, 0.36, 0, 0.515881, 0.258303, 0.458063, 0.536232, 0.752092, 0.797646, 0.861687, 0.883878, 0.972645
tmfreqs:, 45, 0.5, 0.38, 0, 0.522047, 0.259074, 0.455066, 0.53928, 0.751655, 0.797732, 0.861321, 0.880032, 0.980204
tmfreqs:, 46, 0.5, 0.4, 0, 0.52915, 0.25984, 0.452282, 0.542115, 0.751209, 0.79782, 0.860837, 0.876796, 0.987597
tmfreqs:, 47, 0.5, 0.42, 0, 0.537153, 0.260554, 0.449836, 0.544609, 0.750784, 0.797903, 0.86024, 0.87425, 0.994552
tmfreqs:, 48, 0.5, 0.44, 0, 0.546016, 0.261167, 0.447829, 0.546658, 0.750413, 0.797976, 0.859584, 0.872404, 1.00073
tmfreqs:, 49, 0.5, 0.46, 0, 0.555698, 0.261639, 0.446339, 0.54818, 0.750122, 0.798034, 0.858977, 0.871193, 1.00571
tmfreqs:, 50, 0.5, 0.48, 0, 0.566157, 0.261936, 0.445422, 0.549117, 0.749938, 0.798071, 0.858546, 0.870521, 1.00899
tmfreqs:, 51, 0.5, 0.5, 0, 0.57735, 0.262037, 0.445112, 0.549433, 0.749874, 0.798083, 0.858391, 0.870307, 1.01014
tmfreqs:, 52, 0.48, 0.48, 0, 0.554256, 0.261276, 0.445565, 0.549475, 0.748944, 0.798324, 0.858303, 0.871278, 1.01027
tmfreqs:, 53, 0.46, 0.46, 0, 0.531162, 0.259017, 0.446901, 0.549602, 0.74626, 0.799011, 0.858039, 0.874109, 1.01064
tmfreqs:, 54, 0.44, 0.44, 0, 0.508068, 0.255328, 0.449063, 0.549811, 0.74209, 0.80007, 0.857606, 0.878587, 1.01128
tmfreqs:, 55, 0.42, 0.42, 0, 0.484974, 0.250308, 0.451962, 0.550099, 0.73676, 0.801422, 0.857012, 0.884427, 1.01219
tmfreqs:, 56, 0.4, 0.4, 0, 0.46188, 0.244077, 0.455498, 0.550463, 0.730569, 0.803013, 0.856268, 0.89133, 1.0134
tmfreqs:, 57, 0.38, 0.38, 0, 0.438786, 0.236761, 0.45957, 0.550896, 0.723763, 0.804804, 0.855388, 0.89902, 1.01494
tmfreqs:, 58, 0.36, 0.36, 0, 0.415692, 0.228481, 0.464079, 0.551393, 0.716527, 0.806767, 0.854389, 0.907249, 1.01685
tmfreqs:, 59, 0.34, 0.34, 0, 0.392598, 0.219352, 0.468943, 0.551947, 0.709, 0.808876, 0.853287, 0.915798, 1.01919
tmfreqs:, 60, 0.32, 0.32, 0, 0.369504, 0.209476, 0.474091, 0.552549, 0.701283, 0.811103, 0.852104, 0.924464, 1.02202
tmfreqs:, 61, 0.3, 0.3, 0, 0.34641, 0.198943, 0.479464, 0.55319, 0.693453, 0.813418, 0.850857, 0.933054, 1.02542
tmfreqs:, 62, 0.28, 0.28, 0, 0.323316, 0.187833, 0.485019, 0.55386, 0.685565, 0.81579, 0.84957, 0.941386, 1.02946
tmfreqs:, 63, 0.26, 0.26, 0, 0.300222, 0.176216, 0.49072, 0.55455, 0.677661, 0.818184, 0.848261, 0.949286, 1.0342
tmfreqs:, 64, 0.24, 0.24, 0, 0.277128, 0.164153, 0.496539, 0.555248, 0.669774, 0.820566, 0.846952, 0.956606, 1.03967
tmfreqs:, 65, 0.22, 0.22, 0, 0.254034, 0.151698, 0.502455, 0.555944, 0.661933, 0.822903, 0.845662, 0.963239, 1.04585
tmfreqs:, 66, 0.2, 0.2, 0, 0.23094, 0.138899, 0.508449, 0.556626, 0.654158, 0.82516, 0.844412, 0.969129, 1.05264
tmfreqs:, 67, 0.18, 0.18, 0, 0.207846, 0.125799, 0.514505, 0.557284, 0.646473, 0.827306, 0.84322, 0.974272, 1.05984
tmfreqs:, 68, 0.16, 0.16, 0, 0.184752, 0.112437, 0.520605, 0.557906, 0.638899, 0.829312, 0.842102, 0.978704, 1.06718
tmfreqs:, 69, 0.14, 0.14, 0, 0.161658, 0.0988507, 0.526729, 0.558483, 0.631462, 0.831149, 0.841076, 0.982479, 1.0743
tmfreqs:, 70, 0.12, 0.12, 0, 0.138564, 0.0850718, 0.532845, 0.559005, 0.624198, 0.832792, 0.840155, 0.985656, 1.08085
tmfreqs:, 71, 0.1, 0.1, 0, 0.11547, 0.0711319, 0.538903, 0.559463, 0.617161, 0.83422, 0.839353, 0.988286, 1.08649
tmfreqs:, 72, 0.08, 0.08, 0, 0.092376, 0.0570602, 0.544817, 0.559849, 0.610441, 0.835415, 0.838681, 0.990406, 1.09101
tmfreqs:, 73, 0.06, 0.06, 0, 0.069282, 0.0428847, 0.550423, 0.560156, 0.604205, 0.836359, 0.838149, 0.99204, 1.09437
tmfreqs:, 74, 0.04, 0.04, 0, 0.046188, 0.0286322, 0.555395, 0.56038, 0.598782, 0.837043, 0.837763, 0.993202, 1.09662
tmfreqs:, 75, 0.02, 0.02, 0, 0.023094, 0.0143288, 0.559089, 0.560515, 0.594816, 0.837456, 0.837529, 0.993897, 1.0979
tmfreqs:, 76, 0, 0, 0, 0, 0, 0.560518, 0.560561, 0.593296, 0.837451, 0.837595, 0.994129, 1.09832
tmfreqs:, k index, k1, k2, k3, kmag/2pi, tm band 1, tm band 2
tmfreqs:, 1, 0, 0, 0, 0, 0, 0.465723
tmfreqs:, 2, 0.02, 0, 0, 0.023094, 0.0122541, 0.465265
tmfreqs:, 3, 0.04, 0, 0, 0.046188, 0.0244891, 0.463894
tmfreqs:, 4, 0.06, 0, 0, 0.069282, 0.0366857, 0.461691
tmfreqs:, 5, 0.08, 0, 0, 0.092376, 0.0488245, 0.458757
tmfreqs:, 6, 0.1, 0, 0, 0.11547, 0.0608854, 0.455205
tmfreqs:, 7, 0.12, 0, 0, 0.138564, 0.0728476, 0.451145
tmfreqs:, 8, 0.14, 0, 0, 0.161658, 0.0846897, 0.446676
tmfreqs:, 9, 0.16, 0, 0, 0.184752, 0.0963888, 0.441885
tmfreqs:, 10, 0.18, 0, 0, 0.207846, 0.107921, 0.436841
tmfreqs:, 11, 0.2, 0, 0, 0.23094, 0.119259, 0.431605
tmfreqs:, 12, 0.22, 0, 0, 0.254034, 0.130375, 0.426226
tmfreqs:, 13, 0.24, 0, 0, 0.277128, 0.141237, 0.420749
tmfreqs:, 14, 0.26, 0, 0, 0.300222, 0.151809, 0.415214
tmfreqs:, 15, 0.28, 0, 0, 0.323316, 0.162049, 0.40966
